통합_순위,제어번호,총_인용횟수,인용횟수_영문학,인용횟수_한국문학,대표제목_영문학,대표저자_영문학,대표제목_한국문학,대표저자_한국문학
1,nlk:KAC199609116,2364,1197,1167,Discipline and Punish: The Birth of the Prison,"Foucault, Michel",감시와 처벌,"Foucault, Michel"
2,nlk:KAC199606860,2330,1298,1032,A Thousand Plateaus: Capitalism and Schizophrenia,"Deleuze, Gilles",차이와 반복,"Deleuze, Gilles"
3,nlk:KAC199609326,2254,1113,1141,Beyond the Pleasure Principle,"Freud, Sigmund",정신분석학의 근본 개념,"Freud, Sigmund"
4,nlk:KAC199630983,2064,770,1294,The Sublime Object of Ideology,"Žižek, Slavoj",이데올로기라는 숭고한 대상,"Žižek, Slavoj"
5,nlk:KAC199608019,1941,1852,89,The Complete Poems and Plays of T. S. Eliot,"Eliot, Thomas Stearns",T. S. 엘리엇 문학비평,"Eliot, Thomas Stearns"
6,nlk:KAC199602170,1592,641,951,Illuminations,"Benjamin, Walter",발터 벤야민의 문예이론,"Benjamin, Walter "
7,nlk:KAC200800551,1589,1046,543,The Four Fundamental Concepts of Psycho-Analysis,"Lacan, Jacques",욕망이론,"Lacan, Jacques"
8,nlk:KAC199606951,1534,1004,530,Of Grammatology,"Derrida, Jacques",환대에 대하여,"Derrida, Jacques"
9,nlk:KAC199604081,1483,869,614,Gender Trouble: Feminism and the Subversion of Identity,"Butler, Judith P.",젠더 트러블,"Butler, Judith"
10,nlk:KAC200400171,1363,665,698,Homo Sacer: Sovereign Power and Bare Life,"Agamben, Giorgio",호모 사케르,"Agamben, Giorgio"
11,nlk:KAC200800968,843,212,631,The Politics of Literature,"Rancière, Jacques",정치적인 것의 가장자리에서,"Rancière, Jacques"
12,nlk:KAC199613727,822,513,309,The Political Unconscious: Narrative as a Socially Symbolic Act,"Jameson, Fredric",정치적 무의식,"Jameson, Fredric"
13,nlk:KAC199607728,720,445,275,Literary Theory: An Introduction,"Eagleton, Terry",문학이론입문,"Eagleton, Terry"
14,nlk:KAC199615498,719,394,325,Powers of Horror: An Essay on Abjection,"Kristeva, Julia",공포의 권력,"Kristeva, Julia"
15,nlk:KAC200302296,667,428,239,The Location of Culture,"Bhabha, Homi K.",문화의 위치,"Bhabha, Homi K."
16,nlk:KAC199611974,658,273,385,Being and Time,"Heidegger, Martin",존재와 시간,"Heidegger, Martin"
17,nlk:KAC199636295,652,559,93,Orientalism,"Said, Edward W.",오리엔탈리즘,"Said, Edward"
18,nlk:KAC199620237,628,340,288,Thus Spoke Zarathustra,"Nietzsche, Friedrich Wilhelm",차라투스트라는 이렇게 말했다,"Nietzsche, Friedrich"
19,nlk:KAC200306940,625,409,216,Marxism and the Interpretation of Culture,"Spivak, Gayatri Chakravorty",다른 세상에서,"Spivak, Gayatri Chakravorty"
20,nlk:KAC199617910,599,328,271,The Communist Manifesto,"Marx, Karl",공산당 선언,"Marx, Karl"
21,nlk:KAC200306265,590,358,232,Totality and Infinity: An Essay on Exteriority,"Levinas, Emmanuel",시간과 타자,"Levinas, Emmanuel"
22,nlk:KAC199617179,588,190,398,The Historical Novel,"Lukács, Georg",소설의 이론,"Lukács, Georg"
23,nlk:KAC199615786,586,405,181,Metaphors We Live By,"Lakoff, George",삶으로서의 은유,"Lakoff, George"
24,nlk:KAC199601746,571,280,291,Mythologies,"Barthes, Roland",텍스트의 즐거움,"Barthes, Roland"
25,nlk:KAC199600908,522,236,286,The Human Condition,"Arendt, Hannah",인간의 조건,한나 아렌트
26,nlk:KAC199608461,488,313,175,"Black Skin, White Masks","Fanon, Frantz","검은 피부, 하얀 가면","Fanon, Frantz"
27,nlk:KAC199620438,480,178,302,"Hiding from Humanity: Disgust, Shame, and the Law","Nussbaum, Martha Craven",혐오와 수치심,"Nussbaum, Martha Craven"
28,nlk:KAC200001177,478,190,288,Distinction: A Social Critique of the Judgement of Taste,"Bourdieu, Pierre",예술의 규칙,"Bourdieu, Pierre"
29,nlk:KAC199614392,472,243,229,Critique of Judgment,"Kant, Immanuel",판단력 비판,"Kant, Immanuel"
30,nlk:KAC199632647,462,204,258,Poetics,Aristoteles,시학,아리스토텔레스
31,nlk:KAC201418412,450,208,242,The Way of the World: The Bildungsroman in European Culture,"Moretti, Franco",세상의 이치,"Moretti, Franco"
32,nlk:KAC199609447,431,295,136,Anatomy of Criticism,"Frye, Northrop",비평의 해부,"Frye, Northrop"
33,nlk:KAC199600199,429,246,183,Aesthetic Theory,"Adorno, Theodor W.",미학이론,"Adorno, Theodor W."
34,nlk:KAC199603555,402,179,223,"The Melodramatic Imagination: Balzac, Henry James, Melodrama, and the Mode of Excess","Brooks, Peter",육체와 예술,"Brooks, Peter"
35,nlk:KAC199611475,400,260,140,When Species Meet,"Haraway, Donna J.",해러웨이 선언문,"Haraway, Donna J."
36,nlk:KAC199601841,363,195,168,Simulacra and Simulation,"Baudrillard, Jean",시뮬라시옹,"Baudrillard, Jean"
37,nlk:KAC200403354,342,201,141,The Posthuman,"Braidotti, Rosi",포스트휴먼,"Braidotti, Rosi"
38,nlk:KAC201742601,340,216,124,The Politics of Postmodernism,"Hutcheon, Linda",패러디 이론,"Hutcheon, Linda"
39,nlk:KAC200409037,253,178,75,Questions of Cultural Identity,"Hall, Stuart",모더니티의 미래,"Hall, Stuart"
